Time,Stress
0,4.10703
0.1,4.09552
0.2,4.08415
0.3,4.07556
0.4,4.06787
0.5,4.06107
0.6,4.05471
0.7,4.04901
0.8,4.04391
0.9,4.03882
1,4.03421
1.1,4.03009
1.2,4.0261
1.3,4.02222
1.4,4.01855
1.5,4.01525
1.6,4.01216
1.8,4.00593
2,4.00014
2.3,3.99191
2.4,3.98948
2.6,3.98472
2.7,3.98246
2.9,3.97788
3,3.97576
3.1,3.97374
3.2,3.97178
3.3,3.96989
3.5,3.9659
3.8,3.96054
4,3.95674
4.1,3.95525
4.3,3.95197
4.4,3.95049
4.6,3.94742
4.8,3.94449
5,3.94168
5.2,3.93893
5.4,3.93606
5.5,3.93492
5.9,3.92975
6.2,3.92605
6.4,3.92371
6.6,3.9216
6.8,3.91929
7,3.91701
7.2,3.91497
7.3,3.91401
7.6,3.91086
7.8,3.90879
7.9,3.90797
8.1,3.9061
8.3,3.90427
8.4,3.90341
8.6,3.90133
8.7,3.90045
8.8,3.89981
9.2,3.89608
9.5,3.89348
9.7,3.89194
9.9,3.89042
10.1,3.88876
10.3,3.88722
10.5,3.88564
10.8,3.88335
11.1,3.88121
11.2,3.88065
11.4,3.87916
11.7,3.87709
12.3,3.87315
12.7,3.87038
12.8,3.86974
12.9,3.86926
13.2,3.86723
13.3,3.8668
13.5,3.86541
13.6,3.86484
13.8,3.86373
14,3.86252
14.1,3.862
14.3,3.86087
14.6,3.85911
14.8,3.85811
15,3.85702
15.2,3.85569
15.3,3.85538
15.5,3.85436
15.7,3.85315
15.9,3.85223
16.1,3.85133
16.3,3.85016
16.6,3.84864
16.8,3.84764
16.9,3.8474
17.1,3.84617
17.2,3.84581
17.4,3.84485
17.6,3.84404
17.8,3.84298
18,3.84209
18.3,3.8406
18.4,3.8402
18.6,3.83939
18.8,3.83833
19,3.83747
19.4,3.83559
19.6,3.83472
19.9,3.83344
20.2,3.83211
20.7,3.83003
20.8,3.82976
21.1,3.82839
21.3,3.82755
21.4,3.82722
21.6,3.82639
21.8,3.82571
22,3.82486
22.1,3.82454
22.2,3.8243
22.4,3.82343
22.6,3.8227
22.8,3.82186
22.9,3.82152
23.1,3.8207
23.4,3.8196
23.6,3.81891
23.8,3.81827
24,3.81738
24.1,3.81713
24.3,3.81645
24.4,3.81618
24.7,3.81498
25,3.81404
25.2,3.81339
25.4,3.8127
25.7,3.81165
25.8,3.8115
26,3.81071
26.1,3.81052
26.3,3.80983
26.5,3.8092
26.7,3.80858
26.9,3.80799
27.2,3.807
27.4,3.80635
27.6,3.80582
27.9,3.80485
28.2,3.80412
28.6,3.80284
29,3.80154
29.2,3.80103
29.4,3.80039
29.6,3.79987
29.8,3.79916
30.4,3.79747
30.6,3.79683
30.9,3.79601
31.3,3.79481
31.4,3.79456
31.6,3.79395
31.7,3.7938
31.9,3.79319
32.1,3.79277
32.3,3.79214
32.5,3.79154
32.6,3.79139
32.8,3.79079
32.9,3.79053
33,3.79027
33.1,3.79007
33.6,3.78885
33.9,3.78814
34.1,3.78775
34.3,3.78708
34.5,3.7866
34.8,3.7859
34.9,3.7857
35.1,3.78498
35.2,3.78482
35.8,3.78337
35.9,3.78334
36.1,3.78274
36.4,3.78216
36.6,3.78169
36.9,3.78101
37,3.78081
37.2,3.78031
37.4,3.77972
37.6,3.77944
37.8,3.77903
38.5,3.7774
38.6,3.77719
38.8,3.77681
39,3.7764
39.3,3.7756
39.4,3.77547
39.9,3.77456
40.1,3.77399
40.2,3.77392
40.6,3.77297
40.8,3.77246
41,3.77214
41.2,3.77174
41.4,3.77127
41.6,3.77089
41.8,3.7706
42,3.77
42.2,3.76954
42.4,3.76923
42.6,3.76867
42.7,3.7685
42.9,3.76812
43.1,3.76778
43.3,3.76747
43.6,3.76674
43.7,3.76666
43.9,3.76632
44.1,3.76583
44.2,3.76568
44.4,3.76527
44.5,3.76523
44.7,3.76463
44.9,3.76456
45.1,3.76406
45.6,3.76312
45.8,3.76275
46.2,3.76191
46.4,3.76154
46.5,3.76148
46.7,3.76107
46.8,3.76104
47,3.76079
47.3,3.76014
47.6,3.75959
47.9,3.75905
48.2,3.75871
48.4,3.75823
48.5,3.75815
48.7,3.75786
48.9,3.7574
49,3.75723
49.1,3.75721
49.9,3.75587
50.1,3.75558
50.3,3.75514
50.8,3.75432
50.9,3.75428
51.5,3.75336
51.8,3.75262
52,3.75229
52.1,3.75213
52.2,3.75208
52.7,3.75123
52.9,3.75104
53.2,3.75052
53.5,3.75008
53.9,3.74945
54.1,3.74912
54.4,3.74864
54.6,3.74845
54.8,3.74813
55,3.74794
55.1,3.74788
55.3,3.74741
55.4,3.74731
55.7,3.74691
55.9,3.74678
56.1,3.74651
56.3,3.74598
56.5,3.74586
57,3.74515
57.1,3.74511
57.6,3.74433
58,3.74377
58.1,3.74364
58.3,3.74345
58.6,3.74284
58.8,3.74259
59,3.74241
59.4,3.74195
59.6,3.74158
59.8,3.74132
59.9,3.74128
60,3.74127
60.6,3.74031
60.8,3.74002
61,3.73982
61.2,3.73956
61.4,3.73927
62.5,3.73795
62.7,3.73757
62.9,3.73734
63.1,3.73715
63.3,3.73687
63.7,3.73635
63.8,3.73634
64,3.73598
64.1,3.73589
64.3,3.73557
64.5,3.73529
64.7,3.73512
64.9,3.73475
65.1,3.73448
65.3,3.73441
65.6,3.73396
66,3.73337
66.1,3.73336
66.7,3.73254
67,3.7323
67.2,3.73199
67.4,3.73163
67.7,3.73143
68,3.7309
68.2,3.73069
68.4,3.73047
68.7,3.73004
69.5,3.72923
69.8,3.72868
70,3.72857
70.2,3.72848
70.4,3.72817
70.6,3.728
70.9,3.72769
71.1,3.72735
71.2,3.72725
71.4,3.72699
71.8,3.72652
72.3,3.72612
72.6,3.72559
72.8,3.72544
73,3.7253
73.2,3.72501
73.9,3.72442
74.1,3.72402
74.3,3.72373
74.5,3.72355
74.8,3.72332
75.1,3.72302
75.3,3.7228
75.4,3.72276
75.6,3.72246
76.3,3.7218
76.4,3.72173
76.6,3.72151
76.8,3.72133
77.4,3.72063
77.5,3.72054
77.6,3.72049
77.7,3.72044
78.2,3.71979
78.5,3.71954
78.9,3.71918
79,3.71915
79.2,3.71883
79.3,3.71877
79.6,3.71829
79.9,3.71809
81.3,3.71676
81.7,3.71637
82.1,3.71588
82.2,3.71582
82.7,3.71513
82.9,3.71491
83.1,3.71467
83.3,3.71457
83.4,3.71454
83.6,3.71427
83.8,3.71422
84,3.71387
84.1,3.71381
84.3,3.71358
84.6,3.71321
85.2,3.71264
85.4,3.71241
85.6,3.71208
85.8,3.71199
85.9,3.71196
86.1,3.71156
86.2,3.71148
86.4,3.7114
86.6,3.71134
87.8,3.7101
88.1,3.70981
88.6,3.70925
88.7,3.70921
89.2,3.70885
89.9,3.70823
90.1,3.70799
90.4,3.70766
90.9,3.70736
91.1,3.70696
91.2,3.70683
91.3,3.70677
91.4,3.70674
91.5,3.70671
91.8,3.70626
91.9,3.70618
92.2,3.70602
92.4,3.70572
92.5,3.7057
93.1,3.70504
93.3,3.70499
93.5,3.70473
93.7,3.70451
93.9,3.70416
94.2,3.70406
94.7,3.70366
94.9,3.70332
95.5,3.70273
95.8,3.70258
96.5,3.70182
96.6,3.70176
96.7,3.70174
96.9,3.70161
97.1,3.70128
97.2,3.70117
97.4,3.70106
97.6,3.70075
97.7,3.70074
97.9,3.7005
98,3.70042
98.1,3.70039
98.3,3.70022
98.4,3.70016
98.6,3.6999
98.9,3.69962
99.2,3.69947
99.3,3.69944
99.6,3.6992
99.9,3.69891
100,3.69883
100.1,3.69878
100.2,3.69875
100.7,3.69822
100.8,3.69818
102.2,3.69709
102.7,3.69674
102.8,3.69673
104,3.69558
104.2,3.69553
104.8,3.69499
105.1,3.69467
105.3,3.69459
106.3,3.69391
106.8,3.6934
108.2,3.69205
108.4,3.69191
108.5,3.69186
108.8,3.69151
109,3.69141
109.2,3.69139
109.5,3.6913
110.1,3.69069
110.2,3.69068
110.4,3.69024
110.8,3.69022
111.1,3.68999
111.6,3.68945
111.8,3.68939
112.3,3.68898
112.4,3.68895
112.6,3.68876
112.8,3.68866
113,3.68863
113.5,3.68813
114,3.68775
114.3,3.68759
114.7,3.68728
115,3.68692
115.4,3.68663
115.7,3.6865
115.9,3.68648
116.3,3.68629
117,3.6858
117.4,3.68555
117.6,3.68554
117.8,3.68504
118.1,3.68498
118.7,3.68455
118.9,3.6845
119.6,3.68403
120.1,3.68366
120.9,3.68331
121.1,3.68316
121.5,3.68275
121.8,3.68267
121.9,3.68266
122.2,3.68241
122.3,3.68239
122.6,3.68235
123.3,3.68171
125.3,3.68049
125.5,3.68031
125.7,3.68025
125.9,3.68024
126.3,3.67997
126.8,3.67973
127.2,3.67936
127.5,3.67922
127.7,3.67888
128,3.67885
128.2,3.6786
128.4,3.67823
128.8,3.67809
129.6,3.67783
129.8,3.67743
130.3,3.67736
130.8,3.67716
131,3.67687
131.1,3.67679
131.2,3.67678
131.9,3.67629
132.2,3.67622
132.4,3.67604
132.7,3.67588
132.9,3.67559
133.1,3.6754
133.3,3.67536
133.4,3.67535
133.6,3.67505
133.7,3.67501
134,3.67493
134.5,3.67462
135.2,3.67409
135.4,3.6738
135.6,3.67369
135.8,3.67362
136.3,3.67343
137,3.67303
137.1,3.673
137.3,3.67288
137.5,3.67262
137.7,3.67249
137.9,3.67243
138.5,3.67198
138.6,3.67197
139,3.67169
139.1,3.67166
139.7,3.67124
140.8,3.6704
140.9,3.67036
141.2,3.67005
141.6,3.66991
141.8,3.66985
141.9,3.66982
142.5,3.66928
142.7,3.66919
143,3.66897
143.1,3.66896
143.4,3.66884
143.7,3.66841
143.9,3.66829
144.3,3.66811
144.6,3.66802
144.9,3.66775
145.2,3.66753
145.3,3.66751
145.6,3.66733
146.8,3.6667
147,3.66651
147.1,3.66649
147.3,3.66627
147.6,3.6661
147.8,3.66598
148,3.66576
148.3,3.66565
148.7,3.66537
148.9,3.66527
149.1,3.66523
149.7,3.66486
150.1,3.66466
151.1,3.66392
151.2,3.66389
151.8,3.66342
152,3.66336
152.2,3.66318
152.3,3.66314
152.5,3.66307
152.6,3.66305
152.9,3.6628
153.1,3.66264
154.1,3.66194
155.7,3.66093
155.8,3.66091
156,3.66087
156.7,3.66046
157.2,3.66027
157.5,3.65997
157.6,3.65996
158.6,3.65942
158.9,3.65914
159.3,3.65899
159.6,3.65874
160.1,3.65853
160.4,3.65841
161.6,3.65767
161.8,3.65747
162.5,3.65718
162.9,3.65695
163.1,3.65689
163.6,3.65677
163.8,3.65648
164.1,3.65631
164.2,3.65627
164.5,3.6562
165,3.65596
167.9,3.65442
169.3,3.65369
169.7,3.65354
169.9,3.65343
170.1,3.65321
170.4,3.65303
170.5,3.65299
171.2,3.65283
171.4,3.65255
171.7,3.65236
171.9,3.65235
172.7,3.652
173.1,3.65187
174.8,3.65118
175,3.65117
175.3,3.6508
175.4,3.65076
175.6,3.6507
175.8,3.65053
175.9,3.65048
176.1,3.65037
176.3,3.65032
176.4,3.65031
176.6,3.65015
177,3.65008
177.9,3.64949
178,3.64948
178.2,3.64936
178.6,3.64904
